id,coc,con,brc,brn,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST,cocbrc,Rank,Avg,College,Collegeadd1,District,Pincode,Location,Col Sel,Col All,Col Rank,Brn Sel,Brn all,Brn Rank,Loc Sel,Loc All,Loc Rank,Filter,Sel-all,Fin-Filter,Over-all Rank
62b0bb278da21573831b4a1f,2618,"Sona College of Technology (Autonomous), Suramangalam Post, Salem District 636005",MZ,Mechatronics Engineering,169.615,162.395,154.9,156,160.33,169.5,149.475,,,2618MZ,485.83,160.3164286,Sona College of Technology (Autonomous),Suramangalam Post,Salem,636005,"Salem, Tamil Nadu, India",FALSE,FALSE,58,FALSE,FALSE,56,FALSE,FALSE,54,FALSE,FALSE,FALSE,168
62b0bb268da21573831b48a8,1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K K Nagar (West), Chennai 600078",CS,COMPUTER SCIENCE AND ENGINEERING,175.5,173,165.11,164.815,162.265,166.5,151.13,,,1509CS,493.58,165.4742857,Meenakshi College of Engineering," Vembuliamman Koil Street, K K Nagar (West)",Chennai,600078,"Chennai, Tamil Nadu, India",FALSE,FALSE,62,TRUE,FALSE,50,TRUE,TRUE,51,FALSE,TRUE,TRUE,163
62b0bb268da21573831b4763,1306,"Jeppiar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,175.5,174,169.585,170.86,168.56,170.75,148.155,,,1306EC,510.17,168.2014286,Jeppiar Engineering College,Old Mahabalipuram Road (OMR),Chennai,600119,"Chennai, Tamil Nadu, India",FALSE,FALSE,59,TRUE,FALSE,25,TRUE,TRUE,51,FALSE,TRUE,TRUE,135
62b0bb268da21573831b4822,1419,"Sri Sairam Enginering College (Autonomous), West Tambaram, Chennai 600044",ME,MECHANICAL ENGINEERING,175.185,170.89,166,166.885,166.99,170.92,143.56,,,1419ME,504.795,165.7757143,Sri Sairam Enginering College (Autonomous),West Tambaram,Chennai,600044,"Chennai, Tamil Nadu, India",FALSE,FALSE,55,FALSE,FALSE,53,TRUE,TRUE,51,FALSE,TRUE,TRUE,159
62b0bb268da21573831b482d,1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,174.985,171.185,169.93,172.075,166.7,173.925,134.5,,154.3333333,1422EE,512.7,164.7041667,SRM Valliammai Engineering College (Autonomous),Kattankulathur,Chennai,603203,"Chennai, Tamil Nadu, India",FALSE,FALSE,57,TRUE,FALSE,52,TRUE,TRUE,51,FALSE,TRUE,TRUE,160
62b0bb278da21573831b4d99,3841,"CARE College of Engineering (Formerly C.A.R.E Group of Institutions), Thayanoor Village, Thayanoor Village, Kuttappatti, Srirangam Taluk, Tiruchirappalli District 620009",AD,Artificial Intelligence and Data Science,168.24,159.845,161.57,159.715,160.34,166.305,142.35,,,3841AD,486.36,159.7664286,CARE College of Engineering (Formerly C.A.R.E Group of Institutions)," Thayanoor Village, Thayanoor Village, Kuttappatti, Srirangam Taluk",Trichy-Tiruchirappalli,620009,"Trichy-Tiruchirappalli, Tamil Nadu, India",FALSE,FALSE,66,TRUE,TRUE,54,FALSE,FALSE,57,FALSE,TRUE,TRUE,177
62b0bb278da21573831b4d63,3819,"Saranathan College of  Engineering, Panjappur, Tiruchirappalli District  620012",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,173.175,169.505,162.5,150.24,167.12,169.04,149.54,154.325,,3819EE,486.4,161.930625,Saranathan College of  Engineering,Panjappur,Trichy-Tiruchirappalli,620012,"Trichy-Tiruchirappalli, Tamil Nadu, India",TRUE,FALSE,58,TRUE,FALSE,52,FALSE,FALSE,57,TRUE,FALSE,TRUE,167
62b0bb268da21573831b47c8,1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105",IT,INFORMATION TECHNOLOGY,170.44,163.05,167.265,163.01,157.19,166.24,148.12,,,1325IT,486.44,162.1878571,St. Joseph College of Engineering," Trinity Campus;Nemili, Sriperumpudur Taluk",Kancheepuram,602105,"Kancheepuram, Tamil Nadu, India",FALSE,FALSE,63,TRUE,FALSE,52,FALSE,FALSE,53,FALSE,FALSE,FALSE,168
62b0bb278da21573831b4b2a,2708,"Hindusthan College of Engineering and Technology (Autonomous), Othakkalmandapam Post, Coimbatore District 641032",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,171,165.76,159.44,161.975,159.265,165.24,167.24,,,2708EI,486.48,164.2742857,Hindusthan College of Engineering and Technology (Autonomous),Othakkalmandapam Post,Coimbatore,641032,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,61,TRUE,FALSE,53,TRUE,FALSE,51,FALSE,FALSE,FALSE,165
62b0bb268da21573831b488e,1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",IT,INFORMATION TECHNOLOGY,171.035,156.815,,167.12,166.13,153.23,152.38,,,1501IT,486.48,161.1183333,Adhiparasakthi College of Engineering,Kalavai,Ranipet,632506,"Ranipet, Tamil Nadu, India",FALSE,FALSE,64,TRUE,FALSE,52,FALSE,FALSE,61,FALSE,FALSE,FALSE,177
62b0bb288da21573831b4f55,5009,"Government College of Engineering, Melachokkanathapuram, Bodinayakkanur, Theni District 625582",CE,CIVIL  ENGINEERING,167.955,162.53,161,160.24,160.85,165.67,159,,,5009CE,486.76,162.4635714,Government College of Engineering," Melachokkanathapuram, Bodinayakkanur",Theni,625582,"Theni, Tamil Nadu, India",FALSE,FALSE,59,FALSE,FALSE,53,FALSE,FALSE,59,FALSE,FALSE,FALSE,171
62b0bb278da21573831b4be5,2735,"Karpagam Institute of Technology, Seerapalayam Village, L&T By pass Road, Coimbatore District 641021",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,168.99,165.725,152.42,154.055,166.495,166.32,142.89,,,2735EE,486.87,159.5564286,Karpagam Institute of Technology," Seerapalayam Village, L&T By pass Road",Coimbatore,641021,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,60,TRUE,FALSE,52,TRUE,FALSE,51,FALSE,FALSE,FALSE,163
62b0bb278da21573831b4bbd,2727,"Sri Shakthi Institute of Engineering and Technology (Autonomous), L&T Bye-Pass, Venkitapuram Post, Comibatore District 641062",BT,BIO TECHNOLOGY,177.475,173.35,168.275,140.21,170.65,176.275,100.5,156.295,,2727BT,487.135,157.87875,Sri Shakthi Institute of Engineering and Technology (Autonomous)," L&T Bye-Pass, Venkitapuram Post",Coimbatore,641062,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,59,TRUE,FALSE,54,TRUE,FALSE,51,FALSE,FALSE,FALSE,164
62b0bb288da21573831b4df2,4023,"University College of Engineering, Nagercoil, Nagercoil Industrial Estate, Konam, Kanyakumari District 629004",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,179.485,174.36,169.425,150.13,171.865,165.31,155.095,,,4023EC,487.305,166.5242857,University College of Engineering," Nagercoil, Nagercoil Industrial Estate, Konam",Kanyakumari,629004,"Kanyakumari, Tamil Nadu, India",FALSE,FALSE,59,TRUE,FALSE,25,FALSE,FALSE,58,FALSE,FALSE,FALSE,142
62b0bb278da21573831b4bfe,2741,"P A College of Engineering and Technology (Autonomous), Palladam Road, Pollachi, Coimbatore District 642002",CS,COMPUTER SCIENCE AND ENGINEERING,179.58,172.22,162.525,152.755,166.295,168.305,143.19,168.155,144.99,2741CS,487.355,162.0016667,P A College of Engineering and Technology (Autonomous)," Palladam Road, Pollachi",Coimbatore,642002,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,60,TRUE,FALSE,50,TRUE,FALSE,51,FALSE,FALSE,FALSE,161
62b0bb278da21573831b4c64,2764,"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",CH,CHEMICAL  ENGINEERING,174.9,170.725,162.945,135.76,166.755,185.275,121.5,,,2764CH,487.79,159.6942857,K P R Institute of Engineering and Technology (Autonomous)," Kollupalayam Village, Arasur Panchayat",Coimbatore,641407,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,57,FALSE,FALSE,53,TRUE,FALSE,51,FALSE,FALSE,FALSE,161
62b0bb278da21573831b4b42,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",CH,CHEMICAL  ENGINEERING,174,167.685,159.99,149.135,167.265,171.405,117,,,2711CH,487.805,158.0685714,Kongu Engineering College (Autonomous),Perundurai,Erode,638052,"Erode, Tamil Nadu, India",FALSE,FALSE,55,FALSE,FALSE,53,FALSE,FALSE,55,FALSE,FALSE,FALSE,163
62b0bb268da21573831b4667,1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,174.935,171,168,168.64,165.29,170.635,154.755,,,1120EE,504.565,167.6078571,Velammal Engineering College (Autonomous),Ambattur-Redhills Road,Chennai,600066,"Chennai, Tamil Nadu, India",FALSE,FALSE,57,TRUE,FALSE,52,TRUE,TRUE,51,FALSE,TRUE,TRUE,160
62b0bb268da21573831b489b,1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",IT,INFORMATION TECHNOLOGY,174.72,168.135,166.5,164,162.56,161.955,143.665,172.475,,1504IT,488.515,164.25125,Arunai Engineering College,Mathur,Thiruvannamalai,606603,"Thiruvannamalai, Tamil Nadu, India",FALSE,FALSE,63,TRUE,FALSE,52,FALSE,FALSE,62,FALSE,FALSE,FALSE,177
62b0bb278da21573831b4a72,2634,"Excel Engineering College (Autonomous), NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District - 637303",IT,INFORMATION TECHNOLOGY,167.71,159.67,136.85,160.355,161.945,166.34,110.25,162.255,,2634IT,488.64,153.171875,Excel Engineering College (Autonomous)," NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk",Namakkal,637303,"Namakkal, Tamil Nadu, India",FALSE,FALSE,66,TRUE,FALSE,52,FALSE,FALSE,61,FALSE,FALSE,FALSE,179
62b0bb278da21573831b4b26,2708,"Hindusthan College of Engineering and Technology (Autonomous), Othakkalmandapam Post, Coimbatore District 641032",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,171.955,169.43,,154.415,164.68,169.615,122,,,2708EE,488.71,158.6825,Hindusthan College of Engineering and Technology (Autonomous),Othakkalmandapam Post,Coimbatore,641032,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,61,TRUE,FALSE,52,TRUE,FALSE,51,FALSE,FALSE,FALSE,164
62b0bb278da21573831b4b8f,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, Coimbatore District 641022",ME,MECHANICAL ENGINEERING,175.705,172.25,164.585,153.34,166.735,168.75,135.56,153.155,,2719ME,488.825,161.26,Sri Ramakrishna Engineering College (Autonomous),Vattamalaipalayam,Coimbatore,641022,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,56,FALSE,FALSE,53,TRUE,FALSE,51,FALSE,FALSE,FALSE,160
62b0bb288da21573831b4f59,5009,"Government College of Engineering, Melachokkanathapuram, Bodinayakkanur, Theni District 625582",ME,MECHANICAL ENGINEERING,167.78,163.55,152.99,161.56,160.605,166.745,160.99,138.47,,5009ME,488.91,159.08625,Government College of Engineering," Melachokkanathapuram, Bodinayakkanur",Theni,625582,"Theni, Tamil Nadu, India",FALSE,FALSE,59,FALSE,FALSE,53,FALSE,FALSE,59,FALSE,FALSE,FALSE,171
62b0bb268da21573831b4710,1225,"Loyola Institute of Technology, Mevaloorkuppam, B Village, Palanchoor, Nazarethpet Post, Chennai 600123",CS,COMPUTER SCIENCE AND ENGINEERING,174.9,169,164.47,167.47,164.155,161.04,161.265,170.815,,1225CS,492.665,166.639375,Loyola Institute of Technology," Mevaloorkuppam, B Village, Palanchoor, Nazarethpet Post",Chennai,600123,"Chennai, Tamil Nadu, India",FALSE,FALSE,63,TRUE,FALSE,50,TRUE,TRUE,51,FALSE,TRUE,TRUE,164
