coc,College,Max OC Cut-off,Select,Select all,Weight,Location,Loc Selected,Branch Selected,Loc/Branch Fliter
1219,Sri Venkateswara College Of Engineering (Autonomous),193.79,FALSE,TRUE,53,Kancheepuram,FALSE,TRUE,FALSE
3454,Sri Ramakrishna College Of Engineering,166.64,FALSE,FALSE,67,Perambalur,TRUE,TRUE,TRUE
5012,Central Electrochemical Research Institute Cecri),193,FALSE,FALSE,54,Sivagangai,FALSE,FALSE,FALSE
2615,Government College Of Engineering (Autonomous),192.295,FALSE,FALSE,54,Salem,FALSE,TRUE,FALSE
1211,Rajalakshmi Engineering College (Autonomous),192,FALSE,FALSE,54,Kancheepuram,FALSE,TRUE,FALSE
1202,D M I College Of Engineering,165.8,FALSE,FALSE,67,Chennai,TRUE,TRUE,TRUE
1426,Sri Ramanujar Engineering College,165.19,FALSE,FALSE,67,Chennai,TRUE,TRUE,TRUE
5901,Alagappa Chettair Government College Of Engineering And Technology (Autonomous),191.21,FALSE,FALSE,54,Sivagangai,FALSE,TRUE,FALSE
1113,R M K Engineering College (Autonomous),191.01,FALSE,FALSE,54,Thiruvallur,TRUE,TRUE,TRUE
3920,Sudharsan Engineering College,165.085,FALSE,FALSE,67,Pudukkottai,TRUE,TRUE,TRUE
4974,Government College Of Engineering,190.83,FALSE,FALSE,55,Tirunelveli,FALSE,TRUE,FALSE
2776,R V S Technical Campus-Coimbatore,164.91,FALSE,FALSE,68,Coimbatore,TRUE,TRUE,TRUE
2702,Bannari Amman Institute Of Technology (Autonomous),189.815,FALSE,FALSE,55,Erode,FALSE,TRUE,FALSE
2711,Kongu Engineering College (Autonomous),189.5,FALSE,FALSE,55,Erode,FALSE,TRUE,FALSE
4960,Mepco Schlenk Engineering College (Autonomous),189.12,FALSE,FALSE,55,Virudhunagar,FALSE,TRUE,FALSE
2709,Government Engineering College (Formerly Institute Of Road And Transport Technology),188.44,FALSE,FALSE,56,Erode,FALSE,TRUE,FALSE
5986,Velammal College Of Engineering And Technology,188.25,FALSE,FALSE,56,Madurai,FALSE,TRUE,FALSE
2367,Arjun College Of Technology,164.585,FALSE,FALSE,68,Coimbatore,TRUE,TRUE,TRUE
2603,Government College Of Engineering (Autonomous),187.65,FALSE,FALSE,56,Krishnagiri,FALSE,TRUE,FALSE
2753,P P G Institute Of Technology,163.76,FALSE,FALSE,68,Coimbatore,TRUE,TRUE,TRUE
1516,Thanthai Periyar Government Institute Of Technology,187.285,FALSE,FALSE,56,Vellore,FALSE,TRUE,FALSE
1112,R M D Engineering College (Autonomous),187.175,FALSE,FALSE,56,Thiruvallur,TRUE,TRUE,TRUE
1432,Rajalakshmi Institute Of Technology,187.02,FALSE,FALSE,56,Kancheepuram,FALSE,TRUE,FALSE
1407,G K M College Of  Engineering And Technology,163.75,FALSE,FALSE,68,Chennai,TRUE,TRUE,TRUE
4678,Ramco Institute Of Technology,186.03,FALSE,FALSE,57,Virudhunagar,FALSE,TRUE,FALSE
4962,National  Engineering College (Autonomous),186.01,FALSE,FALSE,57,Thoothukudi,FALSE,TRUE,FALSE
3812,Mookambigai College Of Engineering,163.68,FALSE,FALSE,68,Pudukkottai,TRUE,TRUE,TRUE
1026,University College Of Engineering,185.755,FALSE,FALSE,57,Kancheepuram,FALSE,TRUE,FALSE
1321,Central Institute Of Petrochemicals Engineering And Technology (Formerly Central Institute Of Plastics Engineering And Technology) (Cipet),185.58,FALSE,FALSE,57,Chennai,TRUE,FALSE,FALSE
1437,Rrase College Of Engineering,163.49,FALSE,FALSE,68,Chennai,TRUE,TRUE,TRUE
2618,Sona College Of Technology (Autonomous),184.97,FALSE,FALSE,58,Salem,FALSE,TRUE,FALSE
